Sample Name,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,Mineral,Na2O + K2O,TAS,Rocknames
721/1_46,73.39,0.25,13.35,1.26,0.02,0.29,1.3,3.98,3.05,0.0,,Glass,7.029999999999999,R,"['Rhyolite', 'Granite']"
_CNs2-5,55.05,0.07,8.34,6.24,0.12,14.35,6.9,1.1,0.34,,0.49,Glass,1.4400000000000002,O1,"['Basaltic Andesite', 'Gabbroic Diorite']"
GUG-4_GUG-4_34 ,52.13,0.93,15.39,12.81,0.21,4.66,7.88,3.03,0.57,0.18,,Glass,3.5999999999999996,O1,"['Basaltic Andesite', 'Gabbroic Diorite']"
O-1_O-1-2-3.1,48.34,1.78,18.21,6.43,0.09,7.54,9.66,4.83,1.79,0.91,,Glass,6.62,S1,"['Trachy-\nbasalt', 'Monzo-\ngabbro']"
BLK7-1-2010_BLK7-1-2010,53.39,1.28,15.79,9.35,0.21,4.66,8.64,3.27,0.78,0.26,,Glass,4.05,O1,"['Basaltic Andesite', 'Gabbroic Diorite']"
_ZB-1-3-1,50.36,1.3,15.12,9.69,0.18,7.3,9.62,3.42,0.56,0.21,,Glass,3.98,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
08WR-8_08WR-8-13B,48.35,1.21,15.06,16.51,0.23,4.08,5.67,2.98,5.09,0.86,,Glass,8.07,U2,"['Phonotephrite', 'Foid Monzodiorite']"
782A-29X-5-13-15_80,56.91,0.87,13.7,9.81,0.3,3.05,7.12,3.23,0.43,0.15,,Glass,3.66,O1,"['Basaltic Andesite', 'Gabbroic Diorite']"
_BC-2-6-1-1,45.95,2.78,18.49,8.0,0.14,8.13,11.24,3.94,1.66,0.75,,Glass,5.6,U1,"['Tephrite', 'Foid Gabbro']"
RESC3_RESC3-O20-MA,46.52,1.4,14.54,6.03,0.1,4.91,11.45,2.78,3.57,0.72,0.04,Glass,6.35,U1,"['Tephrite', 'Foid Gabbro']"
2010_PYROXENE B 89 #2,66.92,0.9,15.13,4.67,0.08,1.13,3.06,4.11,,0.16,,Glass,,none,['N/A']
782A-41X-4-71-73_113,55.13,0.8,14.4,9.45,0.17,3.94,8.0,2.3,0.29,0.11,,Glass,2.59,O1,"['Basaltic Andesite', 'Gabbroic Diorite']"
U1438_U1438D-63R1W-I7 ,49.37,0.65,15.66,9.51,0.2,7.16,12.69,1.61,0.37,0.1,,Glass,1.98,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
MHL-14_1_3,50.4856,3.223,14.5488,13.3761,0.3881,4.8179,11.0363,2.7894,0.467,0.3794,,Glass,3.2564,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
Aoba-AO8_AO8-38,49.1,0.82,14.41,8.22,,5.68,12.69,2.85,1.49,,,Glass,4.34,Ba,"['Alkalic \nBasalt', 'Alkalic \nGabbro']"
CC02-1_04-054-2,60.19,0.97,23.16,1.15,0.06,0.39,6.23,2.55,0.9,0.3,,Glass,3.4499999999999997,O2,"['Andesite', 'Diorite']"
84AU112_oliv5mi1* ,52.63,0.85,19.23,6.46,0.13,1.37,9.54,1.76,0.19,0.28,,Glass,1.95,O1,"['Basaltic Andesite', 'Gabbroic Diorite']"
