Citation,Volcano,Sample ID,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,NiO,Mineral
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",AGRIGAN,AS03-AGRI-2_AGRI2-21 ,45.64,0.69,18.31,8.67,0.17,3.6,12.83,1.9,0.42,0.13,,,Glass
"Özdemir, Y., Blundy, J. and Güleç, N., 2011. The importance of fractional crystallization and magma mixing in controlling chemical differentiation at Süphan stratovolcano, eastern Anatolia, Turkey. Contributions to Mineralogy and Petrology, 162(3), pp.573-597.",SUPHAN,200677_OL1C,67.77,1.54,13.33,4.48,0.09,0.57,2.24,4.78,3.38,0.4,,,Glass
"Tolstykh, M.L., Pevzner, M.M., Naumov, V.B., Babanskii, A.D. and Kononkova, N.N., 2015. Types of parental melts of pyroclastic rocks of various structural–age complexes of the Shiveluch volcanic massif, Kamchatka: Evidence from inclusions in minerals. Petrology, 23(5), pp.480-517.",SHIVELUCH,722/3_65,71.79,70.4,12.42,1.75,0.07,0.38,1.23,3.48,2.93,0.16,,,Glass
Blundyetal2006,MT.ST.HELENS,KC722U_JUL-7-1,74.63,0.39,12.17,1.89,0.06,0.43,0.88,5.02,2.86,0.0,,,Glass
"Iddon, F. and Edmonds, M., 2020. Volatile?rich magmas distributed through the upper crust in the Main Ethiopian Rift. Geochemistry, Geophysics, Geosystems, 21(6), p.e2019GC008904.",KONE,Kone3)9_MI61,72.47,0.19,8.87,5.23,0.28,,0.18,3.91,4.18,0.04,,,Glass
"Keith, M., Haase, K.M., Klemd, R., Smith, D.J., Schwarz-Schampera, U. and Bach, W., 2018. Constraints on the source of Cu in a submarine magmatic-hydrothermal system, Brothers volcano, Kermadec island arc. Contributions to Mineralogy and Petrology, 173(5), p.40.",BROTHERS,65DR-1_,66.51,1.04,12.85,4.59,0.12,1.12,2.97,4.21,2.63,0.32,,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",IZU-TORISHIMA,616-R05 Izx_616-R05mi20a ,48.83,0.64,17.12,8.02,0.18,6.44,12.72,1.98,0.15,0.11,,,Glass
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,HH09-1_HH-1-1-5-1,44.6,2.67,17.33,10.0,0.14,8.49,11.0,4.1,1.87,0.75,,,Glass
"Rowe, Michael C. , David W. Peate, Ingrid Ukstins Peate; An Investigation into the Nature of the Magmatic Plumbing System at Paricutin Volcano, Mexico, Journal of Petrology, Volume 52, Issue 11, 1 November 2011, Pages 2187–2220, https://doi.org/10.1093/petrology/egr044",PARICUTIN,FP-20-49 (116289-15)_15-O-3-1A,56.85,0.88,19.07,7.35,0.11,3.63,7.0,4.22,2.17,0.35,,,Glass
"Roggensack, K., 2001. Sizing up crystals and their melt inclusions: a new approach to crystallization studies. Earth and Planetary Science Letters, 187(1-2), pp.221-237.",CERRO NEGRO,1867_91,49.96,0.83,17.63,10.44,0.18,6.77,11.62,2.17,0.39,,,,Glass
"Rowe, M.C., Kent, A.J. and Nielsen, R.L., 2009. Subduction influence on oxygen fugacity and trace and volatile elements in basalts across the Cascade Volcanic Arc. Journal of Petrology, 50(1), pp.61-91.",,DB04-2_04-054-7,50.83,1.4,18.68,8.1,0.12,5.76,9.71,3.12,0.58,0.29,,,Glass
"Brandl, P.A., Hamada, M., Arculus, R.J., Johnson, K., Marsaglia, K.M., Savov, I.P., Ishizuka, O. and Li, H., 2017. The arc arises: The links between volcanic output, arc evolution and melt composition. Earth and Planetary Science Letters, 461, pp.73-84.",PALAU-KYUSHU RIDGE,U1438_D55R3A-MIN8-MI5 ,48.12,0.87,14.26,13.54,0.25,5.61,9.12,1.56,0.15,0.03,,,Glass
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,AV06-1_AV-1-6-9.2,51.17,1.92,15.05,10.01,0.18,7.8,9.87,2.91,0.6,0.29,,,Glass
"Ruth, Dawn C. S. , Elizabeth Cottrell, Joaquín A. Cortés, Katherine A. Kelley, Eliza S. Calder; From Passive Degassing to Violent Strombolian Eruption: the Case of the 2008 Eruption of Llaima Volcano, Chile, Journal of Petrology, Volume 57, Issue 9, 1 September 2016, Pages 1833–1864, https://doi.org/10.1093/petrology/egw063",LLAIMA,br4-1-4-2012_br4-1-4-2012,49.36,0.86,18.01,9.01,0.14,6.03,10.0,2.97,0.45,0.15,,,Glass
Hartleyetal2014,LAKI,MHL-02_15_2,50.3781,2.157,16.7741,7.701,0.1554,5.2701,14.0407,2.5751,0.3436,0.232,,,Glass
"Esposito, R. J. Bodnar, L. V. Danyushevsky, B. De Vivo, L. Fedele, J. Hunter, A. Lima, N. Shimizu; Volatile Evolution of Magma Associated with the Solchiaro Eruption in the Phlegrean Volcanic District (Italy), Journal of Petrology, Volume 52, Issue 12, 1 December 2011, Pages 2431–2460, https://doi.org/10.1093/petrology/egr051",CAMPI FLEGREI,RESC4_RESC4-O14-MA,48.04,1.32,17.76,6.62,0.07,4.43,10.52,2.27,4.0,0.67,,,Glass
"Barnes, J.D. and Straub, S.M., 2010. Chorine stable isotope variations in Izu Bonin tephra: implications for serpentinite subduction. Chemical Geology, 272(1-4), pp.62-74.",,782A-19X-2-24-26_45,50.72,0.69,15.4,9.9,0.16,5.91,10.53,1.94,0.19,0.09,,,Glass
Blundyetal2006,MT.ST.HELENS,SH10_SH10-b1-1,77.78,0.68,10.99,1.51,0.0,0.18,0.61,3.91,3.06,0.12,,,Glass
"Rowe, M.C. and Lassiter, J.C., 2009. Chlorine enrichment in central Rio Grande Rift basaltic melt inclusions: Evidence for subduction modification of the lithospheric mantle. Geology, 37(5), pp.439-442.",,_AV-1-7-3.1,50.97,1.84,14.71,9.92,0.15,8.33,9.96,2.89,0.58,0.3,,,Glass
"Rowe, M.C., Kent, A.J. and Nielsen, R.L., 2009. Subduction influence on oxygen fugacity and trace and volatile elements in basalts across the Cascade Volcanic Arc. Journal of Petrology, 50(1), pp.61-91.",,LTB02-2_04-023-3.2,48.55,1.34,17.51,7.9,0.14,7.99,10.0,3.54,0.58,0.3,,,Glass
"Wehrmann, H., Hoernle, K., Jacques, G., Garbe-Schönberg, D., Schumann, K., Mahlke, J. and Lara, L.E., 2014. Volatile (sulphur and chlorine), major, and trace element geochemistry of mafic to intermediate tephras from the Chilean Southern Volcanic Zone (33–43 S). International Journal of Earth Sciences, 103(7), pp.1945-1962.",ANTUCO,CL080_CL080INC121,53.59,1.26,17.32,8.55,0.15,5.16,9.34,3.72,0.69,0.23,,,Glass
"Métrich, N. and Deloule, E., 2014. Water content, ?D and ?11B tracking in the Vanuatu arc magmas (Aoba Island): Insights from olivine-hosted melt inclusions. Lithos, 206, pp.400-408.",AOBA,Aoba-AO24_AO24-35,46.3,1.22,14.66,8.09,,6.15,15.57,2.25,1.36,,,,Glass
"Ruth, Dawn C. S. , Elizabeth Cottrell, Joaquín A. Cortés, Katherine A. Kelley, Eliza S. Calder; From Passive Degassing to Violent Strombolian Eruption: the Case of the 2008 Eruption of Llaima Volcano, Chile, Journal of Petrology, Volume 57, Issue 9, 1 September 2016, Pages 1833–1864, https://doi.org/10.1093/petrology/egw063",LLAIMA,bk4-1-5-2012_bk4-1-5-2012,50.27,1.03,15.46,11.34,0.19,7.59,8.78,3.04,0.7,0.19,,,Glass
"Wehrmann, H., Hoernle, K., Jacques, G., Garbe-Schönberg, D., Schumann, K., Mahlke, J. and Lara, L.E., 2014. Volatile (sulphur and chlorine), major, and trace element geochemistry of mafic to intermediate tephras from the Chilean Southern Volcanic Zone (33–43 S). International Journal of Earth Sciences, 103(7), pp.1945-1962.",LLAIMA,CL036_CL036INC36,57.23,1.36,15.65,9.14,0.16,3.82,8.07,3.28,1.05,0.25,,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",MAUG,04 MAUG-5_MAUG05rh_81,50.14,1.35,12.18,17.12,0.36,6.79,8.75,2.56,0.82,0.11,,,Glass
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",PAGAN,PB62_PB62N,52.17,1.38,14.21,13.57,0.27,2.96,10.5,2.36,0.95,0.15,,,Glass
"Rowe, M.C., Kent, A.J. and Nielsen, R.L., 2009. Subduction influence on oxygen fugacity and trace and volatile elements in basalts across the Cascade Volcanic Arc. Journal of Petrology, 50(1), pp.61-91.",,BLW03-1_03-048-79.2,47.39,1.76,17.92,8.98,0.1,8.19,10.78,3.48,0.52,0.37,,,Glass
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_A21,51.95,1.08,15.68,13.25,0.25,5.1,8.95,2.87,0.56,,,,Glass
"Druitt, T. H.,M. Mercier, L. Florentin, E. Deloule, N. Cluzel, T. Flaherty, E. Médard, A. Cadoux; Magma Storage and Extraction Associated with Plinian and Interplinian Activity at Santorini Caldera (Greece), Journal of Petrology, Volume 57, Issue 3, 1 March 2016, Pages 461–494, https://doi.org/10.1093/petrology/egw015",SANTORINI,S82-30_2-20-A,72.01,0.34,13.72,1.25,,0.11,1.08,4.44,3.35,,,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",ASUNCIÓN, 04 ASUN-20-02_ASUN-20-2_7,51.09,1.08,18.52,10.14,0.18,2.53,11.05,2.62,0.54,0.15,,,Glass
"Cassidy, M., Edmonds, M., Watt, S.F., Palmer, M.R. and Gernon, T.M., 2015. Origin of basalts by hybridization in andesite-dominated arcs. Journal of Petrology, 56(2), pp.325-346.",MONTSERRAT/SOUTH SOUFRIERE HILLS,SSH4_,68.68,0.57,16.86,0.89,,0.24,1.85,3.92,4.78,,,,Glass
"Moretti, R., Métrich, N., Arienzo, I., Di Renzo, V., Aiuppa, A. and Allard, P., 2018. Degassing vs. eruptive styles at Mt. Etna volcano (Sicily, Italy). Part I: Volatile stocking, gas fluxing, and the shift from low-energy to highly explosive basaltic eruptions. Chemical Geology, 482, pp.1-17.",ETNA,SEC Feb. 1999_BNC g,48.13,1.92,17.07,10.05,0.15,3.46,8.4,4.68,2.72,1.02,,,Glass
"Robidoux, P., Aiuppa, A., Rotolo, S.G., Rizzo, A.L., Hauri, E.H. and Frezzotti, M.L., 2017. Volatile contents of mafic-to-intermediate magmas at San Cristóbal volcano in Nicaragua. Lithos, 272, pp.147-163.",SAN CRISTOBAL,SC11D_SC11Dr1b1,44.64,0.97,18.56,12.1,0.27,4.25,12.33,2.6,0.37,0.12,,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",MARIANA TROUGH,ALV-1833-1_ALV1833-1_16,50.66,1.1,18.95,6.98,0.14,4.1,11.87,2.99,0.54,0.15,,,Glass
"Ruscitto, D.M., Wallace, P.J. and Kent, A.J.R., 2011. Revisiting the compositions and volatile contents of olivine-hosted melt inclusions from the Mount Shasta region: implications for the formation of high-Mg andesites. Contributions to Mineralogy and Petrology, 162(1), pp.109-132.",MT. SHASTA-WHALEBACK,S173_2S173-E2,53.85,0.68,15.05,3.91,0.07,7.01,12.32,2.02,0.37,0.34,,,Glass
"Druitt, T. H.,M. Mercier, L. Florentin, E. Deloule, N. Cluzel, T. Flaherty, E. Médard, A. Cadoux; Magma Storage and Extraction Associated with Plinian and Interplinian Activity at Santorini Caldera (Greece), Journal of Petrology, Volume 57, Issue 3, 1 March 2016, Pages 461–494, https://doi.org/10.1093/petrology/egw015",SANTORINI,S82-34B_1-1,68.43,0.3,13.21,1.91,0.1,0.27,1.36,4.26,3.26,,,,Glass
"Portnyagin, M.V., Naumov, V.B., Mironov, N.L., Belousov, I.A. and Kononkova, N.N., 2011. Composition and evolution of the melts erupted in 1996 at Karymskoe Lake, Eastern Kamchatka: Evidence from inclusions in minerals. Geochemistry International, 49(11), pp.1085-1110.",KARYMSKY,KR96BV_KR96BV-9,53.65,1.07,17.14,8.63,0.16,3.63,7.56,3.79,0.93,0.2,,,Glass
"Barnes, J.D. and Straub, S.M., 2010. Chorine stable isotope variations in Izu Bonin tephra: implications for serpentinite subduction. Chemical Geology, 272(1-4), pp.62-74.",,782A-42X-1-36-38_116,72.06,0.48,12.1,2.77,0.03,0.54,2.49,3.43,1.46,0.11,,,Glass
"Rowe, M.C., Kent, A.J. and Nielsen, R.L., 2009. Subduction influence on oxygen fugacity and trace and volatile elements in basalts across the Cascade Volcanic Arc. Journal of Petrology, 50(1), pp.61-91.",,NEF03-1_05-013-8,48.6,1.87,16.61,10.65,0.16,8.23,10.05,3.34,0.47,0.33,,,Glass
"Rowe, M.C. and Lassiter, J.C., 2009. Chlorine enrichment in central Rio Grande Rift basaltic melt inclusions: Evidence for subduction modification of the lithospheric mantle. Geology, 37(5), pp.439-442.",,_91EA-11-5-2,51.85,1.51,16.86,7.51,0.12,8.02,8.98,4.05,0.77,0.44,,,Glass
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,SPV-1_SPV-1-2-5-1,48.99,2.05,17.66,6.12,0.11,7.92,12.47,4.36,1.0,0.42,,,Glass
"Roggensack, K., 2001. Sizing up crystals and their melt inclusions: a new approach to crystallization studies. Earth and Planetary Science Letters, 187(1-2), pp.221-237.",CERRO NEGRO,1867_71,48.91,0.88,19.24,10.12,0.14,5.19,12.77,2.22,0.32,0.22,,,Glass
"Rowe, M.C. and Lassiter, J.C., 2009. Chlorine enrichment in central Rio Grande Rift basaltic melt inclusions: Evidence for subduction modification of the lithospheric mantle. Geology, 37(5), pp.439-442.",,_EB-7B-1-1,55.55,1.37,13.35,7.53,0.11,6.76,8.0,3.85,0.64,0.26,,,Glass
"Moretti, R., Métrich, N., Arienzo, I., Di Renzo, V., Aiuppa, A. and Allard, P., 2018. Degassing vs. eruptive styles at Mt. Etna volcano (Sicily, Italy). Part I: Volatile stocking, gas fluxing, and the shift from low-energy to highly explosive basaltic eruptions. Chemical Geology, 482, pp.1-17.",ETNA,BN1997-98_c1 pt 29,49.04,2.17,17.02,10.65,0.21,3.46,8.57,4.38,2.98,1.03,,,Glass
"Rasmussen, D.J., Plank, T.A., 2021. Melt inclusion data for the central-eastern Aleutian volcanoes. Earthchem data submission.",OKMOK,OK15DJR14_OK14MI08B,50.87,1.15,16.04,10.31,0.21,6.11,10.69,2.66,0.64,0.18,,,Glass
"Rasmussen, D.J., Plank, T.A., Roman, D.C., Power, J.A., Bodnar, R.J. and Hauri, E.H., 2018. When does eruption run-up begin? Multidisciplinary insight from the 1999 eruption of Shishaldin volcano. Earth and Planetary Science Letters, 486, pp.1-14.",SHISHALDIN,SH63DJR15_SH63MI02,52.06,3.25,13.78,13.57,0.32,3.7,7.69,3.42,1.61,0.64,,,Glass
"Kovalenko, D.V., Naumov, V.B., Prokofiev, V.Y., Ageeva, O.A., Andreeva, O.A., Kovaltchuk, E.V., Erofeeva, K.G. and Ugryumova, N.Y., 2017. Chemical composition of melts of the Early Eocene volcanic center at Cape Khairyuzova, western Kamchatka: Evidence from inclusions in minerals. Petrology, 25(1), pp.66-86.",,110/00_34,59.93,1.34,14.51,6.77,0.14,3.62,6.4,4.47,2.48,0.2,,,Glass
"Straub, S.M. and Layne, G.D., 2003. The systematics of chlorine, fluorine, and water in Izu arc front volcanic rocks: implications for volatile recycling in subduction zones. Geochimica et Cosmochimica Acta, 67(21), pp.4179-4203.",,"125-782A-2H-4,113-114_48E",72.57,0.39,11.83,2.61,0.1,0.32,2.13,4.12,1.27,0.01,,,Glass
"Rowe, M.C., Kent, A.J. and Nielsen, R.L., 2009. Subduction influence on oxygen fugacity and trace and volatile elements in basalts across the Cascade Volcanic Arc. Journal of Petrology, 50(1), pp.61-91.",,SIC02-1_03-011-34.1,51.16,1.33,19.63,6.83,0.08,8.47,10.77,3.35,0.41,0.2,,,Glass
"Cooper, L.B. (2009) Volatiles in Tonga arc magmas and their role in unraveling subduction zone processes. Ph.D. Dissertation, Boston University and Caulfield, J. T., Turner, S. P., Smith, I. E. M., Cooper, L. B. & Jenner, G. A. (2012). Magma evolution in the primitive, intra-oceanic Tonga Arc: petrogenesis of basaltic andesites at Tofua volcano. Journal of Petrology 53, 1197–1230.",TOFUA,TF1062_plag1_mia,54.41,0.69,14.7,9.89,0.21,5.34,9.61,1.77,0.37,0.1,,,Glass
"Barnes, J.D. and Straub, S.M., 2010. Chorine stable isotope variations in Izu Bonin tephra: implications for serpentinite subduction. Chemical Geology, 272(1-4), pp.62-74.",,782A-42X-CC-27-29_118,65.84,0.45,15.4,2.56,0.02,0.49,3.99,4.6,1.54,0.05,,,Glass
"Moretti, R., Métrich, N., Arienzo, I., Di Renzo, V., Aiuppa, A. and Allard, P., 2018. Degassing vs. eruptive styles at Mt. Etna volcano (Sicily, Italy). Part I: Volatile stocking, gas fluxing, and the shift from low-energy to highly explosive basaltic eruptions. Chemical Geology, 482, pp.1-17.",ETNA,SEC Feb. 1999_CSEO close to inqa,44.33,1.69,15.95,9.59,0.18,5.04,11.74,3.07,2.17,0.65,,,Glass
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",PAGAN,PB14_PB14Ob,53.1,1.39,14.07,11.83,0.2,2.31,10.72,2.63,0.91,0.26,,,Glass
"Portnyagin, M.V., Naumov, V.B., Mironov, N.L., Belousov, I.A. and Kononkova, N.N., 2011. Composition and evolution of the melts erupted in 1996 at Karymskoe Lake, Eastern Kamchatka: Evidence from inclusions in minerals. Geochemistry International, 49(11), pp.1085-1110.",KARYMSKY,KR99/96_KR99/96-10,53.32,1.13,15.83,9.79,0.22,4.37,7.89,3.67,1.03,0.02,,,Glass
"Wehrmann, H., Hoernle, K., Jacques, G., Garbe-Schönberg, D., Schumann, K., Mahlke, J. and Lara, L.E., 2014. Volatile (sulphur and chlorine), major, and trace element geochemistry of mafic to intermediate tephras from the Chilean Southern Volcanic Zone (33–43 S). International Journal of Earth Sciences, 103(7), pp.1945-1962.",LLAIMA,CL036_CL036INC28,56.98,1.21,15.86,9.25,0.19,3.95,7.99,3.34,1.05,0.18,,,Glass
"Straub, S.M. and Layne, G.D., 2003. The systematics of chlorine, fluorine, and water in Izu arc front volcanic rocks: implications for volatile recycling in subduction zones. Geochimica et Cosmochimica Acta, 67(21), pp.4179-4203.",,"125-782A-2H-4,113-114_14B",72.14,0.49,12.6,3.13,0.08,0.43,2.51,3.91,1.17,0.09,,,Glass
"Ruth, Dawn C. S. , Elizabeth Cottrell, Joaquín A. Cortés, Katherine A. Kelley, Eliza S. Calder; From Passive Degassing to Violent Strombolian Eruption: the Case of the 2008 Eruption of Llaima Volcano, Chile, Journal of Petrology, Volume 57, Issue 9, 1 September 2016, Pages 1833–1864, https://doi.org/10.1093/petrology/egw063",LLAIMA,BRN5-2-2010_BRN5-2-2010,51.25,1.07,16.92,9.28,0.19,5.38,9.68,3.31,0.59,0.22,,,Glass
"Field, L., Blundy, J., Brooker, R.A., Wright, T. and Yirgu, G., 2012. Magma storage conditions beneath Dabbahu Volcano (Ethiopia) constrained by petrology, seismicity and satellite geodesy. Bulletin of Volcanology, 74(5), pp.981-1004.",DABBAHU,55_055 c,70.66,0.51,8.84,5.49,0.21,,0.26,5.3,4.15,,,,Glass
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",PAGAN,PB14_PB14Kc,49.18,0.85,16.16,11.33,0.19,4.03,12.15,2.34,0.44,0.09,,,Glass
"Anderson, 1973, The before-eruption water content of some high-alumina magmas, Bull Volcaol. 37, doi: 10.1007/BF02596890",PARICUTIN,6-PARICUTIN_,54.9,1.13,16.8,7.2,,4.0,6.8,4.1,1.42,0.36,,,Glass
"Rowe, Michael C. , David W. Peate, Ingrid Ukstins Peate; An Investigation into the Nature of the Magmatic Plumbing System at Paricutin Volcano, Mexico, Journal of Petrology, Volume 52, Issue 11, 1 November 2011, Pages 2187–2220, https://doi.org/10.1093/petrology/egr044",PARICUTIN,W-47-30 (116289-12)_12-4-2,61.84,1.57,15.62,5.79,0.1,3.54,4.91,4.35,2.33,0.5,,,Glass
"Anderson, 1979, Water in some hypersthenic magmas",ASAMA,A40_11-1-1,60.7,0.4,21.4,3.0,,1.6,5.6,5.8,1.06,,,,Glass
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,2002S_ 2002/3S-13,43.3,1.85,16.51,9.27,0.16,4.64,12.37,3.04,2.11,0.39,,,Glass
"Umino, S., Kanayama, K., Kitamura, K., Tamura, A., Ishizuka, O., Senda, R. and Arai, S., 2018. Did boninite originate from the heterogeneous mantle with recycled ancient slab?. Island Arc, 27(1), p.e12221.",,_AMs1-3,55.87,0.07,9.5,8.37,0.15,12.39,7.19,1.25,0.37,,1.11,,Glass
"Barnes, J.D. and Straub, S.M., 2010. Chorine stable isotope variations in Izu Bonin tephra: implications for serpentinite subduction. Chemical Geology, 272(1-4), pp.62-74.",,782A-39X-1-21-23_108,65.14,0.79,12.8,5.32,0.19,0.88,3.53,3.87,0.74,0.16,,,Glass
"Hudgins, T.R., Mukasa, S.B., Simon, A.C., Moore, G. and Barifaijo, E., 2015. Melt inclusion evidence for CO 2-rich melts beneath the western branch of the East African Rift: implications for long-term storage of volatiles in the deep lithospheric mantle. Contributions to Mineralogy and Petrology, 169(5), p.46.",BUFUMBIRA,08WR-8_08WR-8-2C,41.12,4.7,13.1,9.68,0.15,8.62,16.71,2.28,3.13,0.65,,,Glass
